name,model,tree_length
7179,Poisson+F+G,0.290
42679,Poisson+F+G,0.322
20692,Poisson+F+G,0.525
6153,LG+F,2.250
273,Poisson+F+G,3.201
7247,JTT+F,1.674
28590,Poisson+F,1.352
6803,WAG+F,0.293
31098,JTT+F+G,0.584
39854,FLU+F,2.053
43925,WAG+F,2.556
35096,WAG+F,1.601
7776,LG+F+G,0.322
10629,Poisson+F,2.056
273,WAG+F+G,3.426
30975,FLU+F,0.574
4232,LG+F,0.860
10305,LG+F,1.772
10779,Poisson+F,0.658
3129,FLU+F,0.357
11350,JTT+F+G,1.881
27156,WAG+F,1.736
12772,JTT+F,4.888
1252,Poisson+F+G,1.175
1424,WAG+F,0.607
13350,Poisson+F+G,0.113
4264,JTT+F+G,0.038
5768,JTT+F,0.451
4824,FLU+F,2.149
28028,JTT+F+G,0.127
10119,Poisson+F+G,1.651
5242,JTT+F,1.010
8876,LG+F+G,1.788
4806,WAG+F,2.185
7211,WAG+F+G,0.060
38316,WAG+F+G,4.733
17581,FLU+F+G,1.720
1406,FLU+F,1.055
193,Poisson+F+G,5.388
25479,WAG+F,0.757
3575,LG+F+G,2.103
20892,WAG+F,0.724
22319,FLU+F+G,2.232
4740,Poisson+F,0.154
18015,LG+F,1.723
3918,FLU+F,0.031
11080,Poisson+F+G,0.933
10588,FLU+F+G,2.503
12955,JTT+F+G,0.675
12985,WAG+F+G,3.162
11502,WAG+F,0.447
8874,JTT+F+G,1.057
18109,WAG+F,3.062
2654,JTT+F,0.424
6153,WAG+F+G,2.515
32252,LG+F,0.673
4734,JTT+F+G,2.447
14902,FLU+F,0.946
24669,Poisson+F+G,1.993
19016,Poisson+F,0.375
22916,Poisson+F+G,0.438
6518,WAG+F,2.984
3182,Poisson+F+G,1.394
6010,FLU+F,0.504
7741,WAG+F+G,1.066
803,JTT+F+G,6.219
6300,Poisson+F+G,0.901
22767,LG+F,0.133
14920,WAG+F,1.454
7791,JTT+F+G,0.626
38696,JTT+F+G,0.017
9382,LG+F,1.316
269,FLU+F+G,0.018
39586,FLU+F,2.421
5126,JTT+F+G,1.019
11920,WAG+F+G,1.134
20896,LG+F,1.087
205,FLU+F,0.764
37308,FLU+F,1.296
12402,JTT+F,1.558
26839,Poisson+F+G,1.333
24867,JTT+F,0.017
1754,WAG+F,0.419
5220,WAG+F+G,2.287
25596,FLU+F+G,1.433
7447,JTT+F+G,0.433
35190,Poisson+F,1.789
44661,JTT+F+G,0.169
8915,LG+F,0.309
7497,WAG+F+G,0.527
13314,LG+F+G,1.252
38590,WAG+F+G,0.141
13164,Poisson+F+G,3.668
8841,LG+F+G,0.340
8396,WAG+F,1.338
6886,Poisson+F,0.905
1295,FLU+F,2.921
39938,FLU+F+G,3.268
4139,Poisson+F,0.521
6285,WAG+F+G,1.925
12128,JTT+F,2.720
25201,FLU+F,0.330
28447,LG+F+G,1.375
6255,JTT+F+G,0.212
8585,LG+F,1.509
3542,LG+F+G,2.122
44766,Poisson+F+G,1.538
2779,WAG+F+G,0.062
11672,WAG+F,1.456
5770,WAG+F+G,0.334
2524,JTT+F,1.358
17657,FLU+F+G,0.403
38010,JTT+F+G,1.212
10475,Poisson+F,1.600
11699,FLU+F,1.312
12631,Poisson+F,0.475
9830,WAG+F+G,2.284
1687,LG+F+G,0.779
11391,WAG+F,1.018
43634,Poisson+F+G,4.062
6134,Poisson+F+G,0.887
6342,WAG+F,2.739
22635,WAG+F,0.245
2893,FLU+F+G,1.834
7906,JTT+F,0.496
4162,WAG+F+G,1.149
11358,WAG+F,0.228
6705,JTT+F+G,0.569
3171,FLU+F+G,0.609
12214,Poisson+F,0.907
10050,Poisson+F,2.376
12919,JTT+F,1.436
5880,WAG+F+G,0.860
9400,JTT+F,0.131
12417,LG+F+G,2.899
5850,JTT+F+G,3.867
33857,JTT+F,0.651
4347,WAG+F,3.557
9875,Poisson+F,1.320
11992,LG+F,0.893
8611,Poisson+F+G,1.398
5903,JTT+F,0.791
3056,Poisson+F+G,0.472
12344,Poisson+F,3.444
16853,LG+F,0.631
10100,Poisson+F,0.054
4698,LG+F+G,2.531
18642,FLU+F+G,2.357
10644,WAG+F+G,0.525
2763,FLU+F+G,0.174
38327,Poisson+F,2.050
13394,WAG+F,1.051
4428,FLU+F+G,1.346
14902,FLU+F+G,1.216
4686,FLU+F,2.862
6825,WAG+F+G,0.663
5435,LG+F,0.679
847,LG+F,2.734
